id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,URL,Ward
469,607 36 ST SW,607 36 ST SW,SPRUCE CLIFF,2014\/12\/05,2014\/11\/07,BP2014-01281,335,https:\/\/secondarysuites.calgary.ca,08
470,60G HONG KONG RD SW,60G HONG KONG RD SW,CFB - CURRIE,2013\/12\/17,2013\/12\/16,BP2013-01987,248,https:\/\/secondarysuites.calgary.ca,11
471,61 ABERDARE CR NE,61 ABERDARE CR NE,ABBEYDALE,2016\/05\/26,2016\/01\/29,BP2014-18768,530,https:\/\/secondarysuites.calgary.ca,10
472,611 MEOTA RD NE,611 MEOTA RD NE,MAYLAND HEIGHTS,2015\/01\/15,2015\/01\/15,BP2014-14233,387,https:\/\/secondarysuites.calgary.ca,03
473,618 11 AV NE,618 11 AV NE,RENFREW,2012\/10\/30,2012\/10\/30,BP2011-14983,109,https:\/\/secondarysuites.calgary.ca,04
474,62 SADDLELAKE DR NE,62 SADDLELAKE DR NE,SADDLE RIDGE,2015\/05\/25,2015\/04\/30,BP2014-10054,411,https:\/\/secondarysuites.calgary.ca,03
475,620 40 AV NW,620 40 AV NW,HIGHWOOD,2013\/11\/05,2013\/10\/31,BP2012-12168,444,https:\/\/secondarysuites.calgary.ca,04
476,6235G 18 ST SE,6235G 18 ST SE,OGDEN,2012\/04\/13,2012\/04\/11,BP2011-14228,104,https:\/\/secondarysuites.calgary.ca,09
477,625G 24 AV NW,625G 24 AV NW,MOUNT PLEASANT,2015\/08\/17,2015\/08\/17,BP2013-16932,315,https:\/\/secondarysuites.calgary.ca,04
478,62R WALDEN CO SE,62 WALDEN CO SE,WALDEN,2013\/01\/18,2013\/01\/17,BP2012-13836,209,https:\/\/secondarysuites.calgary.ca,14
479,63 SKYVIEW SHORES CO NE,63 SKYVIEW SHORES CO NE,SKYVIEW RANCH,2012\/06\/12,2012\/06\/12,BP2011-14346,102,https:\/\/secondarysuites.calgary.ca,03
480,63G DIEPPE DR SW,63G DIEPPE DR SW,CFB - CURRIE,2013\/09\/20,2013\/09\/18,BP2012-17265,235,https:\/\/secondarysuites.calgary.ca,11
481,63G ELGIN MEADOWS RD SE,63G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2012\/10\/30,2012\/10\/30,BP2012-03311,149,https:\/\/secondarysuites.calgary.ca,12
482,64 ABERDARE WY NE,64 ABERDARE WY NE,ABBEYDALE,2013\/06\/11,2013\/06\/10,BP2012-12436,217,https:\/\/secondarysuites.calgary.ca,10
483,64 RIVERBIRCH RD SE,64 RIVERBIRCH RD SE,RIVERBEND,2016\/07\/06,2016\/07\/06,BP2015-16348,546,https:\/\/secondarysuites.calgary.ca,09
484,6416 19 ST SE,6416 19 ST SE,OGDEN,2016\/02\/10,2016\/02\/03,BP2016-00433,474,https:\/\/secondarysuites.calgary.ca,09
485,6440G 34 AV NW,6440G 34 AV NW,BOWNESS,2012\/05\/01,2012\/05\/01,BP2011-08365,61,https:\/\/secondarysuites.calgary.ca,01
486,65G MARY DOVER DR SW,65G MARY DOVER DR SW,CFB - CURRIE,2013\/10\/25,2013\/10\/23,BP2012-11960,218,https:\/\/secondarysuites.calgary.ca,11
487,66 ABERDARE WY NE,66 ABERDARE WY NE,ABBEYDALE,2016\/07\/28,2016\/07\/28,BP2015-08570,559,https:\/\/secondarysuites.calgary.ca,10
488,66 CEDARGROVE RD SW,64 CEDARGROVE RD SW,CEDARBRAE,2014\/01\/30,2014\/01\/29,BP2012-04251,143,https:\/\/secondarysuites.calgary.ca,11
489,66 CRANWELL SQ SE,66 CRANWELL SQ SE,CRANSTON,2012\/11\/13,2012\/11\/12,BP2011-15228,110,https:\/\/secondarysuites.calgary.ca,12
490,66 WALDEN CO SE,66 WALDEN CO SE,WALDEN,2014\/05\/01,2014\/05\/01,BP2014-01325,333,https:\/\/secondarysuites.calgary.ca,14
491,660G NORTHMOUNT DR NW,660G NORTHMOUNT DR NW,CAMBRIAN HEIGHTS,2015\/06\/30,2015\/06\/05,BP2012-11151,185,https:\/\/secondarysuites.calgary.ca,04
492,667 CRANSTON AV SE,667 CRANSTON AV SE,CRANSTON,2016\/07\/06,2016\/07\/06,BP2015-15489,548,https:\/\/secondarysuites.calgary.ca,12
493,67 COUGAR RIDGE GR SW,33 COUGAR RIDGE RI SW,COUGAR RIDGE,2011\/10\/12,2011\/10\/07,BP2011-03622,60,https:\/\/secondarysuites.calgary.ca,01
494,6790 MALVERN RD NE,639 MALVERN WY NE,MARLBOROUGH PARK,2016\/08\/05,2016\/08\/05,BP2016-05785,565,https:\/\/secondarysuites.calgary.ca,10
495,67G DIEPPE DR SW,67G DIEPPE DR SW,CFB - CURRIE,2013\/08\/23,2013\/08\/22,BP2012-15914,220,https:\/\/secondarysuites.calgary.ca,11
496,67G ELGIN MEADOWS RD SE,67G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2012\/12\/09,2012\/12\/06,BP2012-03869,151,https:\/\/secondarysuites.calgary.ca,12
497,68 MILLCREST RD SW,68 MILLCREST RD SW,MILLRISE,2016\/08\/30,2016\/08\/30,BP2016-05970,540,https:\/\/secondarysuites.calgary.ca,13
498,68G DIEPPE DR SW,68G DIEPPE DR SW,CFB - CURRIE,2015\/07\/10,2015\/06\/17,BP2014-13363,386,https:\/\/secondarysuites.calgary.ca,11
499,68G PRESTWICK MR SE,68G PRESTWICK MR SE,MCKENZIE TOWNE,2010\/03\/18,2010\/03\/11,BP2009-14457,11,https:\/\/secondarysuites.calgary.ca,12
500,68R ABERDARE RD NE,68 ABERDARE RD NE,ABBEYDALE,2014\/11\/18,2014\/10\/27,BP2013-10300,293,https:\/\/secondarysuites.calgary.ca,10
501,69 AUBURN MEADOWS GD SE,71 AUBURN MEADOWS GD SE,AUBURN BAY,2016\/07\/29,2016\/07\/29,BP2016-03646,561,https:\/\/secondarysuites.calgary.ca,12
502,7 ROYAL BIRCH ST NW,7 ROYAL BIRCH ST NW,ROYAL OAK,2013\/09\/13,2013\/09\/12,BP2013-05631,275,https:\/\/secondarysuites.calgary.ca,01
503,70R WALDEN CO SE,70 WALDEN CO SE,WALDEN,2013\/08\/20,2013\/08\/19,BP2013-04605,261,https:\/\/secondarysuites.calgary.ca,14
504,71 SHAWMEADOWS CL SW,71 SHAWMEADOWS CL SW,SHAWNESSY,2015\/12\/15,2015\/11\/27,BP2015-08017,455,https:\/\/secondarysuites.calgary.ca,13
505,712G SALISBURY AV SE,712G SALISBURY AV SE,RAMSAY,2014\/11\/26,2014\/11\/26,BP2014-03878,360,https:\/\/secondarysuites.calgary.ca,09
506,712R RANCHVIEW CI NW,712 RANCHVIEW CI NW,RANCHLANDS,2013\/05\/03,2013\/05\/02,BP2012-15650,222,https:\/\/secondarysuites.calgary.ca,02
507,714 40 AV NW,712 40 AV NW,HIGHWOOD,2011\/10\/05,2011\/09\/30,BP2011-07668,70,https:\/\/secondarysuites.calgary.ca,04
508,72 EVERHOLLOW ST SW,72 EVERHOLLOW ST SW,EVERGREEN,2016\/07\/19,2016\/07\/19,BP2016-06815,555,https:\/\/secondarysuites.calgary.ca,13
509,7243 BOWNESS RD NW,7243 BOWNESS RD NW,BOWNESS,2015\/08\/06,2015\/07\/15,BP2014-01981,334,https:\/\/secondarysuites.calgary.ca,01
510,73 NOLANFIELD CO NW,71 NOLANFIELD CO NW,NOLAN HILL,2016\/06\/13,2016\/06\/13,BP2016-01712,538,https:\/\/secondarysuites.calgary.ca,02
511,73 TARALEA MR NE,73 TARALEA MR NE,TARADALE,2015\/06\/01,2015\/05\/07,BP2015-00058,399,https:\/\/secondarysuites.calgary.ca,03
512,73G MARY DOVER DR SW,73G MARY DOVER DR SW,CFB - CURRIE,2015\/02\/19,2015\/02\/19,BP2012-02219,131,https:\/\/secondarysuites.calgary.ca,11
513,73G TOMMY PRINCE RD SW,73G TOMMY PRINCE RD SW,CFB - CURRIE,2015\/02\/17,2015\/02\/12,BP2012-11967,214,https:\/\/secondarysuites.calgary.ca,11
514,74 SADDLELAKE VW NE,74 SADDLELAKE VW NE,SADDLE RIDGE,2015\/04\/29,2015\/04\/07,BP2014-10053,410,https:\/\/secondarysuites.calgary.ca,03
515,7415 35 AV NW,7415 35 AV NW,BOWNESS,2012\/01\/11,2012\/01\/10,BP2011-10162,86,https:\/\/secondarysuites.calgary.ca,01
516,7426R 22 ST SE,7426 22 ST SE,OGDEN,2013\/02\/15,2013\/02\/15,BP2012-08615,170,https:\/\/secondarysuites.calgary.ca,09
517,75 GLENWAY DR SW,75 GLENWAY DR SW,GLAMORGAN,2015\/12\/16,2015\/10\/26,BP2015-12262,457,https:\/\/secondarysuites.calgary.ca,11
518,75 SUNVALE CO SE,75 SUNVALE CO SE,SUNDANCE,2013\/08\/13,2013\/08\/13,BP2013-07036,283,https:\/\/secondarysuites.calgary.ca,14
519,75 WALDEN CO SE,75 WALDEN CO SE,WALDEN,2015\/09\/11,2015\/09\/11,BP2014-14960,390,https:\/\/secondarysuites.calgary.ca,14
520,75G ELGIN MEADOWS RD SE,75G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2014\/08\/12,2014\/04\/11,BP2013-13251,301,https:\/\/secondarysuites.calgary.ca,12
521,75R EVERWOODS GR SW,75 EVERWOODS GR SW,EVERGREEN,2014\/12\/05,2014\/11\/24,BP2013-18392,318,https:\/\/secondarysuites.calgary.ca,13
522,7625B 21A ST SE,7625 21A ST SE,OGDEN,2013\/06\/14,2013\/06\/14,BP2012-15086,197,https:\/\/secondarysuites.calgary.ca,09
523,76G BENY-SUR-MER RD SW,76G BENY-SUR-MER RD SW,CFB - CURRIE,2011\/04\/29,2011\/04\/28,BP2010-11606,34,https:\/\/secondarysuites.calgary.ca,11
524,76G DIEPPE DR SW,76G DIEPPE DR SW,CFB - CURRIE,2014\/12\/05,2014\/07\/30,BP2013-17616,316,https:\/\/secondarysuites.calgary.ca,11
525,76G QUARRY DR SE,76G QUARRY DR SE,DOUGLASDALE\/GLEN,2012\/11\/20,2012\/11\/20,BP2012-07534,162,https:\/\/secondarysuites.calgary.ca,12
526,7740G 46 AV NW,7740G 46 AV NW,BOWNESS,2016\/02\/09,2016\/02\/09,BP2015-10255,479,https:\/\/secondarysuites.calgary.ca,01
527,77G TOMMY PRINCE RD SW,77G TOMMY PRINCE RD SW,CFB - CURRIE,2012\/04\/17,2012\/04\/11,BP2011-06148,71,https:\/\/secondarysuites.calgary.ca,11
528,7883R MARTHA'S HAVEN PA NE,7883 MARTHA'S HAVEN PA NE,MARTINDALE,2012\/09\/21,2012\/09\/21,BP2012-02426,135,https:\/\/secondarysuites.calgary.ca,05
529,7903G 47 AV NW,7903G 47 AV NW,BOWNESS,2013\/02\/12,2013\/02\/12,BP2009-10973,6,https:\/\/secondarysuites.calgary.ca,01
530,79G ELGIN MEADOWS RD SE,79G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2012\/01\/16,2012\/01\/12,BP2011-07532,57,https:\/\/secondarysuites.calgary.ca,12
531,8 FALCONRIDGE CL NE,8 FALCONRIDGE CL NE,FALCONRIDGE,2014\/11\/10,2014\/10\/17,BP2014-02722,362,https:\/\/secondarysuites.calgary.ca,05
532,8 MARTINVIEW RD NE,8 MARTINVIEW RD NE,MARTINDALE,2016\/08\/22,2016\/08\/22,BP2016-00456,572,https:\/\/secondarysuites.calgary.ca,05
533,802 9 ST NE,802 9 ST NE,RENFREW,2016\/08\/31,2016\/08\/31,BP2015-15304,590,https:\/\/secondarysuites.calgary.ca,04
534,807 21 AV NW,807 21 AV NW,MOUNT PLEASANT,2012\/12\/14,2012\/12\/13,BP2011-12922,441,https:\/\/secondarysuites.calgary.ca,04
535,807 SABRINA RD SW,807 SABRINA RD SW,SOUTHWOOD,2014\/12\/05,2014\/12\/02,BP2014-12108,413,https:\/\/secondarysuites.calgary.ca,11
536,808 ALLANDALE RD SE,808 ALLANDALE RD SE,ACADIA,2016\/06\/29,2016\/06\/07,BP2015-13262,536,https:\/\/secondarysuites.calgary.ca,09
537,80G QUARRY DR SE,80G QUARRY DR SE,DOUGLASDALE\/GLEN,2013\/09\/13,2013\/09\/13,BP2013-02713,142,https:\/\/secondarysuites.calgary.ca,12
538,81 CRANFORD PL SE,81 CRANFORD PL SE,CRANSTON,2014\/01\/03,2014\/01\/02,BP2012-14194,210,https:\/\/secondarysuites.calgary.ca,12
539,811 BRIDGE CR NE,811 BRIDGE CR NE,BRIDGELAND\/RIVERSIDE,2014\/06\/11,2014\/06\/11,BP2013-17233,323,https:\/\/secondarysuites.calgary.ca,09
540,815 78 AV NW,815 78 AV NW,HUNTINGTON HILLS,2016\/01\/15,2016\/01\/15,BP2015-12974,466,https:\/\/secondarysuites.calgary.ca,04
541,819 13 AV NE,819 13 AV NE,RENFREW,2015\/12\/30,2015\/12\/30,BP2015-03352,551,https:\/\/secondarysuites.calgary.ca,04
542,8205 SADDLEBROOK DR NE,8205 SADDLEBROOK DR NE,SADDLE RIDGE,2012\/08\/24,2012\/06\/19,BP2011-13862,100,https:\/\/secondarysuites.calgary.ca,03
543,8208 RANCHVIEW DR NW,8208 RANCHVIEW DR NW,RANCHLANDS,2013\/08\/16,2013\/06\/18,BP2013-04208,263,https:\/\/secondarysuites.calgary.ca,02
544,8213 SADDLEBROOK DR NE,8213 SADDLEBROOK DR NE,SADDLE RIDGE,2012\/01\/10,2012\/01\/09,BP2011-13489,91,https:\/\/secondarysuites.calgary.ca,03
545,8214 SADDLEBROOK DR NE,8214 SADDLEBROOK DR NE,SADDLE RIDGE,2013\/06\/21,2013\/04\/15,BP2012-08819,171,https:\/\/secondarysuites.calgary.ca,03
546,8237 SADDLEBROOK DR NE,8237 SADDLEBROOK DR NE,SADDLE RIDGE,2013\/06\/21,2013\/06\/19,BP2013-03708,262,https:\/\/secondarysuites.calgary.ca,03
547,825 4 AV NE,440 7A ST NE,BRIDGELAND\/RIVERSIDE,2012\/12\/28,2012\/12\/28,BP2012-07413,156,https:\/\/secondarysuites.calgary.ca,04
548,828 40 AV NW,828 40 AV NW,HIGHWOOD,2016\/08\/30,2016\/08\/30,BP2015-15650,591,https:\/\/secondarysuites.calgary.ca,04
549,83 BEACONSFIELD CR NW,83 BEACONSFIELD CR NW,BEDDINGTON HEIGHTS,2015\/12\/10,2015\/11\/06,BP2015-13895,453,https:\/\/secondarysuites.calgary.ca,04
550,83 COPPERSTONE GA SE,83 COPPERSTONE GA SE,COPPERFIELD,2015\/07\/17,2015\/06\/02,BP2015-00045,400,https:\/\/secondarysuites.calgary.ca,12
551,83 COUGAR RIDGE CV SW,85 COUGAR RIDGE CV SW,COUGAR RIDGE,2014\/05\/05,2014\/04\/24,BP2013-04259,259,https:\/\/secondarysuites.calgary.ca,01
552,83 TARALEA CR NE,83 TARALEA CR NE,TARADALE,2012\/09\/07,2012\/09\/06,BP2012-07523,163,https:\/\/secondarysuites.calgary.ca,03
553,84 ALDERWOOD CL SE,84 ALDERWOOD CL SE,ACADIA,2012\/12\/20,2012\/04\/27,BP2011-15870,113,https:\/\/secondarysuites.calgary.ca,09
554,84 RANCHRIDGE WY NW,84 RANCHRIDGE WY NW,RANCHLANDS,2016\/09\/19,2016\/09\/19,BP2016-00184,587,https:\/\/secondarysuites.calgary.ca,02
555,84 RIVERCREST CR SE,84 RIVERCREST CR SE,RIVERBEND,2016\/05\/13,2016\/05\/11,BP2016-00576,522,https:\/\/secondarysuites.calgary.ca,09
556,840 69 AV SW,840 69 AV SW,KINGSLAND,2013\/03\/29,2013\/03\/27,BP2012-14549,211,https:\/\/secondarysuites.calgary.ca,11
557,840 ABBEYDALE DR NE,840 ABBEYDALE DR NE,ABBEYDALE,2012\/06\/14,2012\/06\/13,BP2012-01037,121,https:\/\/secondarysuites.calgary.ca,10
558,84G QUARRY DR SE,84G QUARRY DR SE,DOUGLASDALE\/GLEN,2013\/07\/09,2013\/07\/08,BP2012-17170,232,https:\/\/secondarysuites.calgary.ca,12
559,8528R 34 AV NW,8528 34 AV NW,BOWNESS,2012\/11\/02,2012\/10\/31,BP2011-07372,68,https:\/\/secondarysuites.calgary.ca,01
560,85R SADDLEMEAD CL NE,85 SADDLEMEAD CL NE,SADDLE RIDGE,2014\/10\/08,2014\/09\/16,BP2014-00274,330,https:\/\/secondarysuites.calgary.ca,03
561,86 AUTUMN CR SE,86 AUTUMN CR SE,AUBURN BAY,2015\/12\/23,2015\/12\/23,BP2015-07090,473,https:\/\/secondarysuites.calgary.ca,12
562,867 CANAVERAL CR SW,867 CANAVERAL CR SW,CANYON MEADOWS,2015\/05\/20,2015\/04\/23,BP2015-01509,428,https:\/\/secondarysuites.calgary.ca,13
563,87 HENDON DR NW,87 HENDON DR NW,HIGHWOOD,2016\/06\/16,2016\/06\/16,BP2015-12158,541,https:\/\/secondarysuites.calgary.ca,04
564,87 HOLMWOOD AV NW,87 HOLMWOOD AV NW,HIGHWOOD,2013\/11\/01,2013\/10\/31,BP2013-11826,300,https:\/\/secondarysuites.calgary.ca,04
565,8723R 36 AV NW,8723 36 AV NW,BOWNESS,2014\/05\/28,2014\/05\/28,BP2012-16349,224,https:\/\/secondarysuites.calgary.ca,01
566,88 TARINGTON GR NE,88 TARINGTON GR NE,TARADALE,2014\/08\/14,2014\/07\/07,BP2013-15994,324,https:\/\/secondarysuites.calgary.ca,03
567,9 EDGEFORD WY NW,9 EDGEFORD WY NW,EDGEMONT,2016\/03\/30,2016\/03\/30,BP2015-14612,498,https:\/\/secondarysuites.calgary.ca,04
568,90 ABADAN CR NE,90 ABADAN CR NE,ABBEYDALE,2013\/05\/14,2013\/05\/14,BP2013-01848,246,https:\/\/secondarysuites.calgary.ca,10
569,902G 24 AV NW,902G 24 AV NW,MOUNT PLEASANT,2011\/05\/17,2011\/05\/10,BP2010-10365,23,https:\/\/secondarysuites.calgary.ca,04
570,904 19 AV SE,904 19 AV SE,RAMSAY,2015\/05\/04,2015\/04\/09,BP2014-14872,389,https:\/\/secondarysuites.calgary.ca,09
571,91 SHAWGLEN WY SW,91 SHAWGLEN WY SW,SHAWNESSY,2015\/07\/16,2015\/07\/15,BP2015-02939,406,https:\/\/secondarysuites.calgary.ca,13
572,921G 24 AV NW,921G 24 AV NW,MOUNT PLEASANT,2011\/11\/10,2011\/11\/09,BP2011-14033,98,https:\/\/secondarysuites.calgary.ca,04
573,924 42 ST SW,924 42 ST SW,ROSSCARROCK,2012\/08\/03,2012\/08\/01,BP2011-00820,47,https:\/\/secondarysuites.calgary.ca,08
574,927 18 ST NE,927 18 ST NE,MAYLAND HEIGHTS,2014\/03\/11,2014\/03\/11,BP2010-05990,17,https:\/\/secondarysuites.calgary.ca,03
575,92G QUARRY DR SE,92G QUARRY DR SE,DOUGLASDALE\/GLEN,2013\/04\/23,2013\/04\/22,BP2012-13473,213,https:\/\/secondarysuites.calgary.ca,12
576,93 SOMERSIDE MR SW,93 SOMERSIDE MR SW,SOMERSET,2016\/05\/16,2016\/05\/16,BP2016-01411,525,https:\/\/secondarysuites.calgary.ca,13
577,96 OGMOOR CR SE,96 OGMOOR CR SE,OGDEN,2014\/10\/14,2014\/09\/19,BP2013-13606,313,https:\/\/secondarysuites.calgary.ca,09
578,96 ROYAL OAK TC NW,96 ROYAL OAK TC NW,ROYAL OAK,2012\/06\/08,2012\/06\/08,BP2011-15453,111,https:\/\/secondarysuites.calgary.ca,01
579,96 TARALEA MR NE,96 TARALEA GD NE,TARADALE,2011\/10\/26,2011\/10\/24,BP2011-04784,83,https:\/\/secondarysuites.calgary.ca,03
580,97 EVANSFORD CI NW,97 EVANSFORD CI NW,EVANSTON,2012\/04\/10,2012\/04\/10,BP2011-00665,46,https:\/\/secondarysuites.calgary.ca,02
581,9719 3 ST SE,9719 3 ST SE,ACADIA,2016\/08\/03,2016\/08\/03,BP2015-13872,563,https:\/\/secondarysuites.calgary.ca,09
582,9786 HIDDEN VALLEY DR NW,9786 HIDDEN VALLEY DR NW,HIDDEN VALLEY,2013\/03\/01,2013\/03\/01,BP2012-12096,195,https:\/\/secondarysuites.calgary.ca,04
583,98G ELGIN MEADOWS CI SE,98G ELGIN MEADOWS CI SE,MCKENZIE TOWNE,2015\/10\/09,2015\/10\/09,BP2011-03812,437,https:\/\/secondarysuites.calgary.ca,12
584,99 COVEPARK DR NE,99 COVEPARK DR NE,COVENTRY HILLS,2013\/12\/06,2013\/12\/04,BP2013-14738,314,https:\/\/secondarysuites.calgary.ca,03
585,#2 62 BRIDLERIDGE WY SW,62 BRIDLERIDGE WY SW,BRIDLEWOOD,,2015\/12\/11,PE2016-00128,469,https:\/\/secondarysuites.calgary.ca,13
